name,part_type,first_rate_pct,win_share_pct,usage_pct,top_cuts,snapshot_date,source_url
Glory Valkyrie,blade,34.3,1.4,1.4,137.0,2026-09-20,https://beywatch.gg/blades/glory-valkyrie
Golem Rock,blade,28.5,5.0,6.0,582.0,2026-09-20,https://beywatch.gg/blades/golem-rock
Green Goblin,blade,,,,,2026-09-20,https://beywatch.gg/blades/green-goblin
Grogu,blade,,,,,2026-09-20,https://beywatch.gg/blades/grogu
Gust Bat,blade,40.0,0.1,0.1,5.0,2026-09-20,https://beywatch.gg/blades/gust-bat
Hack Viking,blade,0.0,0.0,0.0,4.0,2026-09-20,https://beywatch.gg/blades/hack-viking
Heavens Ring,blade,21.9,0.2,0.3,32.0,2026-09-20,https://beywatch.gg/blades/heavens-ring
Hells Chain,blade,29.8,1.0,1.2,114.0,2026-09-20,https://beywatch.gg/blades/hells-chain
Hells Hammer,blade,27.1,0.9,1.1,107.0,2026-09-20,https://beywatch.gg/blades/hells-hammer
Hells Nether,blade,16.7,0.2,0.3,30.0,2026-09-20,https://beywatch.gg/blades/hells-nether
Hells Scythe,blade,32.7,2.8,2.9,281.0,2026-09-20,https://beywatch.gg/blades/hells-scythe
Hover Wyvern,blade,32.8,19.2,20.0,1930.0,2026-09-20,https://beywatch.gg/blades/hover-wyvern
Hulk,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/hulk
Hunt,blade,24.0,0.2,0.3,25.0,2026-09-20,https://beywatch.gg/blades/hunt
Hurricane,blade,100.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/hurricane
Impact Drake,blade,32.4,2.9,3.1,299.0,2026-09-20,https://beywatch.gg/blades/impact-drake
Iron Man,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/iron-man
Knife Shinobi,blade,20.0,0.1,0.2,15.0,2026-09-20,https://beywatch.gg/blades/knife-shinobi
Knight Lance,blade,25.0,0.3,0.4,36.0,2026-09-20,https://beywatch.gg/blades/knight-lance
Knight Mail,blade,27.6,4.2,5.2,507.0,2026-09-20,https://beywatch.gg/blades/knight-mail
Knight Shield,blade,34.3,1.1,1.1,105.0,2026-09-20,https://beywatch.gg/blades/knight-shield
Leon Claw,blade,23.8,0.2,0.2,21.0,2026-09-20,https://beywatch.gg/blades/leon-claw
Leon Crest,blade,33.3,0.4,0.4,42.0,2026-09-20,https://beywatch.gg/blades/leon-crest
Lightning L-Drago (Rapid-Hit Type),blade,40.0,0.5,0.4,40.0,2026-09-20,https://beywatch.gg/blades/lightning-l-drago-rapid-hit-type
Lightning L-Drago (Upper Type),blade,,,,,2026-09-20,https://beywatch.gg/blades/lightning-l-drago-upper-type
Luke Skywalker,blade,,,,,2026-09-20,https://beywatch.gg/blades/luke-skywalker
Luster Dragoon,blade,,,,,2026-09-20,https://beywatch.gg/blades/luster-dragoon
Megatron,blade,50.0,0.0,0.0,2.0,2026-09-20,https://beywatch.gg/blades/megatron
Meteor Dragoon,blade,32.9,6.6,6.9,662.0,2026-09-20,https://beywatch.gg/blades/meteor-dragoon
Might,blade,34.0,0.5,0.5,53.0,2026-09-20,https://beywatch.gg/blades/might
Miles Morales,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/miles-morales
Mister Fantastic,blade,,,,,2026-09-20,https://beywatch.gg/blades/mister-fantastic
Moff Gideon,blade,33.3,0.0,0.0,3.0,2026-09-20,https://beywatch.gg/blades/moff-gideon
Obi-Wan Kenobi,blade,100.0,0.1,0.0,2.0,2026-09-20,https://beywatch.gg/blades/obi-wan-kenobi
Optimus Primal,blade,24.3,0.3,0.4,37.0,2026-09-20,https://beywatch.gg/blades/optimus-primal
Optimus Prime,blade,28.6,0.1,0.1,7.0,2026-09-20,https://beywatch.gg/blades/optimus-prime
Phoenix Feather,blade,14.3,0.1,0.3,28.0,2026-09-20,https://beywatch.gg/blades/phoenix-feather
Phoenix Rudder,blade,34.0,0.5,0.5,47.0,2026-09-20,https://beywatch.gg/blades/phoenix-rudder
Phoenix Wing,blade,33.2,28.3,29.1,2815.0,2026-09-20,https://beywatch.gg/blades/phoenix-wing
Rage,blade,32.3,0.6,0.6,62.0,2026-09-20,https://beywatch.gg/blades/rage
Rampart Aegis,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/rampart-aegis
Reaper,blade,34.8,0.2,0.2,23.0,2026-09-20,https://beywatch.gg/blades/reaper
Red Hulk,blade,29.2,0.2,0.2,24.0,2026-09-20,https://beywatch.gg/blades/red-hulk
Rhino Horn,blade,36.8,0.2,0.2,19.0,2026-09-20,https://beywatch.gg/blades/rhino-horn
Roar Tyranno,blade,28.4,1.2,1.5,141.0,2026-09-20,https://beywatch.gg/blades/roar-tyranno
Rock Leone,blade,11.1,0.0,0.1,9.0,2026-09-20,https://beywatch.gg/blades/rock-leone
Samurai Calibur,blade,26.5,1.5,1.9,181.0,2026-09-20,https://beywatch.gg/blades/samurai-calibur
Samurai Saber,blade,29.9,1.8,2.1,204.0,2026-09-20,https://beywatch.gg/blades/samurai-saber
Savage Bear,blade,50.0,0.1,0.1,6.0,2026-09-20,https://beywatch.gg/blades/savage-bear
Scorpio Spear,blade,30.4,3.9,4.4,427.0,2026-09-20,https://beywatch.gg/blades/scorpio-spear
Seize Jaguar,blade,,,,,2026-09-20,https://beywatch.gg/blades/seize-jaguar
Shark Edge,blade,27.3,3.2,4.0,388.0,2026-09-20,https://beywatch.gg/blades/shark-edge
Shark Scale,blade,35.8,47.0,44.9,4335.0,2026-09-20,https://beywatch.gg/blades/shark-scale
Shatter Horus,blade,,,,,2026-09-20,https://beywatch.gg/blades/shatter-horus
Shelter Drake,blade,14.3,0.1,0.2,21.0,2026-09-20,https://beywatch.gg/blades/shelter-drake
Shinobi Shadow,blade,12.5,0.1,0.2,24.0,2026-09-20,https://beywatch.gg/blades/shinobi-shadow
Shockwave,blade,33.3,0.0,0.0,3.0,2026-09-20,https://beywatch.gg/blades/shockwave
Silver Wolf,blade,32.1,15.5,16.5,1589.0,2026-09-20,https://beywatch.gg/blades/silver-wolf
Sphinx Cowl,blade,44.4,0.1,0.1,9.0,2026-09-20,https://beywatch.gg/blades/sphinx-cowl
Spider-Man,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/spider-man
Starscream,blade,33.3,0.0,0.0,3.0,2026-09-20,https://beywatch.gg/blades/starscream
Steel Samurai,blade,21.4,0.1,0.1,14.0,2026-09-20,https://beywatch.gg/blades/steel-samurai
Storm Pegasis,blade,42.9,0.1,0.1,7.0,2026-09-20,https://beywatch.gg/blades/storm-pegasis
Storm Spriggan,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/storm-spriggan
Stormtrooper,blade,,,,,2026-09-20,https://beywatch.gg/blades/stormtrooper
Stun Medusa,blade,100.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/stun-medusa
Suppress Superion,blade,0.0,0.0,0.0,4.0,2026-09-20,https://beywatch.gg/blades/suppress-superion
Tackle Goat,blade,33.3,0.1,0.1,6.0,2026-09-20,https://beywatch.gg/blades/tackle-goat
Talon Ptera,blade,30.0,0.3,0.3,30.0,2026-09-20,https://beywatch.gg/blades/talon-ptera
Thanos,blade,,,,,2026-09-20,https://beywatch.gg/blades/thanos
The Mandalorian,blade,,,,,2026-09-20,https://beywatch.gg/blades/the-mandalorian
Tread,blade,0.0,0.0,0.0,1.0,2026-09-20,https://beywatch.gg/blades/tread
Tricera Press,blade,18.6,0.2,0.4,43.0,2026-09-20,https://beywatch.gg/blades/tricera-press
Tricera Spiky,blade,14.3,0.0,0.1,7.0,2026-09-20,https://beywatch.gg/blades/tricera-spiky
Trypio,blade,,,,,2026-09-20,https://beywatch.gg/blades/trypio
Tusk Mammoth,blade,43.5,0.3,0.2,23.0,2026-09-20,https://beywatch.gg/blades/tusk-mammoth
Tyranno Beat,blade,31.4,10.0,10.9,1055.0,2026-09-20,https://beywatch.gg/blades/tyranno-beat
Unicorn Sting,blade,28.6,1.8,2.2,213.0,2026-09-20,https://beywatch.gg/blades/unicorn-sting
Valor Bison,blade,31.8,0.2,0.2,22.0,2026-09-20,https://beywatch.gg/blades/valor-bison
Venom,blade,21.4,0.1,0.1,14.0,2026-09-20,https://beywatch.gg/blades/venom
Victory Valkyrie,blade,18.2,0.1,0.1,11.0,2026-09-20,https://beywatch.gg/blades/victory-valkyrie
Viper Tail,blade,17.9,0.2,0.4,39.0,2026-09-20,https://beywatch.gg/blades/viper-tail
Volt,blade,10.5,0.1,0.2,19.0,2026-09-20,https://beywatch.gg/blades/volt
Weiss Tiger,blade,23.1,0.4,0.5,52.0,2026-09-20,https://beywatch.gg/blades/weiss-tiger
Whale Wave,blade,28.8,2.2,2.6,250.0,2026-09-20,https://beywatch.gg/blades/whale-wave
Whip,blade,53.8,0.2,0.1,13.0,2026-09-20,https://beywatch.gg/blades/whip
Wizard Arrow,blade,26.5,0.7,0.9,83.0,2026-09-20,https://beywatch.gg/blades/wizard-arrow
Wizard Rod,blade,35.5,64.4,62.0,5987.0,2026-09-20,https://beywatch.gg/blades/wizard-rod
Wriggle,blade,12.5,0.0,0.1,8.0,2026-09-20,https://beywatch.gg/blades/wriggle
Wyvern Gale,blade,27.6,0.2,0.3,29.0,2026-09-20,https://beywatch.gg/blades/wyvern-gale
Xeno Xcalibur,blade,33.3,0.1,0.1,6.0,2026-09-20,https://beywatch.gg/blades/xeno-xcalibur
Yell Kong,blade,25.0,0.0,0.0,4.0,2026-09-20,https://beywatch.gg/blades/yell-kong
Accel (A),bit,26.9,0.5,0.7,67.0,2026-09-20,https://beywatch.gg/parts/bit-accel
Ball (B),bit,34.2,17.7,17.7,1713.0,2026-09-20,https://beywatch.gg/parts/bit-ball
Bound Spike (BS),bit,32.6,0.5,0.5,46.0,2026-09-20,https://beywatch.gg/parts/bit-bound-spike
Cyclone (C),bit,25.0,0.8,1.0,100.0,2026-09-20,https://beywatch.gg/parts/bit-cyclone
Disk Ball (DB),bit,34.4,0.7,0.7,64.0,2026-09-20,https://beywatch.gg/parts/bit-disk-ball
Disk Spike (DS),bit,0.0,0.0,0.0,2.0,2026-09-20,https://beywatch.gg/parts/bit-disk-spike
Dot (D),bit,24.6,0.4,0.6,57.0,2026-09-20,https://beywatch.gg/parts/bit-dot
Elevate (E),bit,34.9,23.2,22.7,2191.0,2026-09-20,https://beywatch.gg/parts/bit-elevate
Flat (F),bit,23.3,2.2,3.2,313.0,2026-09-20,https://beywatch.gg/parts/bit-flat
Free Ball (FB),bit,33.1,23.3,24.1,2323.0,2026-09-20,https://beywatch.gg/parts/bit-free-ball
Free Flat (FF),bit,34.0,0.5,0.5,47.0,2026-09-20,https://beywatch.gg/parts/bit-free-flat
Gear Ball (GB),bit,22.0,0.3,0.4,41.0,2026-09-20,https://beywatch.gg/parts/bit-gear-ball
Gear Flat (GF),bit,27.5,0.6,0.7,69.0,2026-09-20,https://beywatch.gg/parts/bit-gear-flat
Gear Needle (GN),bit,21.4,0.2,0.3,28.0,2026-09-20,https://beywatch.gg/parts/bit-gear-needle
Gear Point (GP),bit,31.9,0.9,1.0,94.0,2026-09-20,https://beywatch.gg/parts/bit-gear-point
Gear Rush (GR),bit,23.8,0.2,0.2,21.0,2026-09-20,https://beywatch.gg/parts/bit-gear-rush
Gear Unite (GU),bit,0.0,0.0,0.0,4.0,2026-09-20,https://beywatch.gg/parts/bit-gear-unite
Glide (G),bit,22.2,0.2,0.4,36.0,2026-09-20,https://beywatch.gg/parts/bit-glide
Hexa (H),bit,34.5,48.0,47.5,4587.0,2026-09-20,https://beywatch.gg/parts/bit-hexa
High Needle (HN),bit,31.0,0.7,0.7,71.0,2026-09-20,https://beywatch.gg/parts/bit-high-needle
High Taper (HT),bit,24.6,0.5,0.7,65.0,2026-09-20,https://beywatch.gg/parts/bit-high-taper
Ignition (I),bit,40.0,0.4,0.3,30.0,2026-09-20,https://beywatch.gg/parts/bit-ignition
Jolt (J),bit,30.9,4.9,5.4,521.0,2026-09-20,https://beywatch.gg/parts/bit-jolt
Kick (K),bit,34.2,26.7,26.7,2579.0,2026-09-20,https://beywatch.gg/parts/bit-kick
Level (L),bit,31.4,19.9,21.6,2087.0,2026-09-20,https://beywatch.gg/parts/bit-level
Low Cyclone (LC),bit,,,,,2026-09-20,https://beywatch.gg/parts/bit-low-cyclone
Low Flat (LF),bit,27.1,4.1,5.1,495.0,2026-09-20,https://beywatch.gg/parts/bit-low-flat
Low Orb (LO),bit,32.2,8.8,9.3,902.0,2026-09-20,https://beywatch.gg/parts/bit-low-orb
Low Point (LP),bit,,,,,2026-09-20,https://beywatch.gg/parts/bit-low-point
Low Rush (LR),bit,35.4,47.9,46.2,4465.0,2026-09-20,https://beywatch.gg/parts/bit-low-rush
Merge (M),bit,31.6,0.4,0.4,38.0,2026-09-20,https://beywatch.gg/parts/bit-merge
Metal Needle (MN),bit,20.0,0.0,0.1,5.0,2026-09-20,https://beywatch.gg/parts/bit-metal-needle
Narrow (Nr),bit,34.7,1.8,1.8,170.0,2026-09-20,https://beywatch.gg/parts/bit-narrow
Needle (N),bit,28.3,0.5,0.6,60.0,2026-09-20,https://beywatch.gg/parts/bit-needle
Operate (Op),bit,26.9,0.2,0.3,26.0,2026-09-20,https://beywatch.gg/parts/bit-operate
Orb (O),bit,32.0,2.6,2.8,269.0,2026-09-20,https://beywatch.gg/parts/bit-orb
Point (P),bit,31.5,11.5,12.5,1205.0,2026-09-20,https://beywatch.gg/parts/bit-point
Quake (Q),bit,17.1,0.2,0.4,35.0,2026-09-20,https://beywatch.gg/parts/bit-quake
Rubber Accel (RA),bit,28.6,2.4,2.8,273.0,2026-09-20,https://beywatch.gg/parts/bit-rubber-accel
Rush (R),bit,35.1,47.0,45.7,4418.0,2026-09-20,https://beywatch.gg/parts/bit-rush
Spike (S),bit,21.4,0.2,0.3,28.0,2026-09-20,https://beywatch.gg/parts/bit-spike
Taper (T),bit,30.2,5.5,6.2,602.0,2026-09-20,https://beywatch.gg/parts/bit-taper
Trans Kick (TK),bit,20.5,0.3,0.5,44.0,2026-09-20,https://beywatch.gg/parts/bit-trans-kick
Trans Point (TP),bit,18.9,0.2,0.4,37.0,2026-09-20,https://beywatch.gg/parts/bit-trans-point
Turbo (Tr),bit,25.0,0.1,0.1,8.0,2026-09-20,https://beywatch.gg/parts/bit-turbo
Under Flat (UF),bit,22.3,0.6,1.0,94.0,2026-09-20,https://beywatch.gg/parts/bit-under-flat
Under Needle (UN),bit,30.0,2.8,3.2,313.0,2026-09-20,https://beywatch.gg/parts/bit-under-needle
Unite (U),bit,34.9,2.9,2.9,278.0,2026-09-20,https://beywatch.gg/parts/bit-unite
Vortex (V),bit,32.3,0.3,0.3,31.0,2026-09-20,https://beywatch.gg/parts/bit-vortex
Wall Ball (WB),bit,30.4,0.8,1.0,92.0,2026-09-20,https://beywatch.gg/parts/bit-wall-ball
Wall Wedge (WW),bit,21.4,0.1,0.1,14.0,2026-09-20,https://beywatch.gg/parts/bit-wall-wedge
Wedge (W),bit,28.9,4.5,5.3,516.0,2026-09-20,https://beywatch.gg/parts/bit-wedge
Yielding (Y),bit,23.8,0.2,0.2,21.0,2026-09-20,https://beywatch.gg/parts/bit-yielding
Zap (Z),bit,30.0,0.6,0.7,70.0,2026-09-20,https://beywatch.gg/parts/bit-zap
0-60,ratchet,28.6,0.6,0.7,70.0,2026-09-20,https://beywatch.gg/parts/ratchet-0-60
0-70,ratchet,26.4,0.4,0.5,53.0,2026-09-20,https://beywatch.gg/parts/ratchet-0-70
0-80,ratchet,31.4,0.5,0.5,51.0,2026-09-20,https://beywatch.gg/parts/ratchet-0-80
1-50,ratchet,35.2,8.9,8.6,832.0,2026-09-20,https://beywatch.gg/parts/ratchet-1-50
1-60,ratchet,35.1,77.5,75.5,7289.0,2026-09-20,https://beywatch.gg/parts/ratchet-1-60
1-70,ratchet,35.4,20.2,19.4,1878.0,2026-09-20,https://beywatch.gg/parts/ratchet-1-70
1-80,ratchet,31.2,2.2,2.4,234.0,2026-09-20,https://beywatch.gg/parts/ratchet-1-80
2-60,ratchet,20.7,0.4,0.6,58.0,2026-09-20,https://beywatch.gg/parts/ratchet-2-60
2-70,ratchet,23.8,0.2,0.2,21.0,2026-09-20,https://beywatch.gg/parts/ratchet-2-70
2-80,ratchet,25.0,0.1,0.1,8.0,2026-09-20,https://beywatch.gg/parts/ratchet-2-80
3-60,ratchet,33.4,45.5,46.5,4488.0,2026-09-20,https://beywatch.gg/parts/ratchet-3-60
3-70,ratchet,31.9,2.7,2.9,279.0,2026-09-20,https://beywatch.gg/parts/ratchet-3-70
3-80,ratchet,25.7,1.2,1.6,152.0,2026-09-20,https://beywatch.gg/parts/ratchet-3-80
3-85,ratchet,31.0,0.3,0.3,29.0,2026-09-20,https://beywatch.gg/parts/ratchet-3-85
4-50,ratchet,30.4,5.0,5.6,539.0,2026-09-20,https://beywatch.gg/parts/ratchet-4-50
4-55,ratchet,29.8,2.1,2.4,228.0,2026-09-20,https://beywatch.gg/parts/ratchet-4-55
4-60,ratchet,27.3,2.1,2.7,256.0,2026-09-20,https://beywatch.gg/parts/ratchet-4-60
4-70,ratchet,35.9,0.4,0.4,39.0,2026-09-20,https://beywatch.gg/parts/ratchet-4-70
4-80,ratchet,20.0,0.2,0.4,35.0,2026-09-20,https://beywatch.gg/parts/ratchet-4-80
5-50,ratchet,37.5,0.5,0.4,40.0,2026-09-20,https://beywatch.gg/parts/ratchet-5-50
5-60,ratchet,32.5,25.0,26.2,2532.0,2026-09-20,https://beywatch.gg/parts/ratchet-5-60
5-70,ratchet,30.4,2.2,2.5,240.0,2026-09-20,https://beywatch.gg/parts/ratchet-5-70
5-80,ratchet,20.8,0.6,1.0,96.0,2026-09-20,https://beywatch.gg/parts/ratchet-5-80
6-60,ratchet,31.8,5.8,6.2,601.0,2026-09-20,https://beywatch.gg/parts/ratchet-6-60
6-70,ratchet,25.4,0.5,0.6,59.0,2026-09-20,https://beywatch.gg/parts/ratchet-6-70
6-80,ratchet,13.6,0.1,0.2,22.0,2026-09-20,https://beywatch.gg/parts/ratchet-6-80
7-55,ratchet,27.6,0.9,1.1,105.0,2026-09-20,https://beywatch.gg/parts/ratchet-7-55
7-60,ratchet,34.0,23.6,23.7,2286.0,2026-09-20,https://beywatch.gg/parts/ratchet-7-60
7-70,ratchet,32.4,6.4,6.8,654.0,2026-09-20,https://beywatch.gg/parts/ratchet-7-70
7-80,ratchet,36.2,0.5,0.5,47.0,2026-09-20,https://beywatch.gg/parts/ratchet-7-80
8-70,ratchet,29.4,0.5,0.5,51.0,2026-09-20,https://beywatch.gg/parts/ratchet-8-70
8-80,ratchet,,,,,2026-09-20,https://beywatch.gg/parts/ratchet-8-80
9-60,ratchet,33.9,67.4,67.9,6555.0,2026-09-20,https://beywatch.gg/parts/ratchet-9-60
9-65,ratchet,28.6,0.2,0.2,21.0,2026-09-20,https://beywatch.gg/parts/ratchet-9-65
9-70,ratchet,31.2,6.1,6.6,642.0,2026-09-20,https://beywatch.gg/parts/ratchet-9-70
9-80,ratchet,27.0,1.3,1.6,159.0,2026-09-20,https://beywatch.gg/parts/ratchet-9-80
M-85,ratchet,26.7,0.2,0.3,30.0,2026-09-20,https://beywatch.gg/parts/ratchet-m-85
Mummy Curse,blade,31.0,2.0,2.2,210.0,2026-09-20,https://beywatch.gg/blades/mummy-curse
Orochi Cluster,blade,22.4,0.3,0.5,49.0,2026-09-20,https://beywatch.gg/blades/orochi-cluster
